yarn run v1.22.22
$ next dev
▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.55:3000
- Environments: .env.local
- Experiments (use with caution):
  · clientTraceMetadata

✓ Starting...
✓ Ready in 2.4s
 PUT /api/inngest 200 in 67ms (compile: 16ms, proxy.ts: 19ms, render: 31ms)
 PUT /api/inngest 200 in 68ms (compile: 15ms, proxy.ts: 20ms, render: 33ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 17ms, render: 34ms)
 PUT /api/inngest 200 in 66ms (compile: 20ms, proxy.ts: 15ms, render: 31ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 16ms, render: 32ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 21ms, render: 30ms)
 PUT /api/inngest 200 in 69ms (compile: 17ms, proxy.ts: 21ms, render: 30ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 18ms, render: 30ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 18ms, render: 33ms)
 PUT /api/inngest 200 in 68ms (compile: 15ms, proxy.ts: 22ms, render: 31ms)
